Name,location,latitude,longitude
IIT Madras,"IIT Madras, Gajendra Circle, Seva Nagar Velachery, Taramani, Corporation of Chennai, Chennai district, Tamil Nadu, 600036, India",12.9914769,80.2336786
IIT Bombay,"IIT Bombay, Indian Institute of Technology Bombay, jhvj, Chandan Nagar, Kanjurmarg West, Greater Bombay, Maharashtra, 400076, India",19.1330262,72.9091997
IIT Kharagpur,"Technology Guest House, Scholars' Avenue, Kharagpur, Paschim Medinipur, West Bengal, 721301, India",22.3158881,87.3040136
IIT Delhi,"IIT Delhi, Outer Ring Road, Adchini, Vasant Kunj, Delhi, 110030, India",28.5442774,77.2004603909847
IIT Kanpur,"Visitor Hostel, 4th Avenue, Kanpur, Kanpur Nagar, Uttar Pradesh, 208012, India",26.50738545,80.2345919086737
IIT Roorkee,"HOSPITAL IIT ROORKEE, NH334, Roorkee, Haridwar, Uttarakhand, 247667, India",29.8619455,77.8932051805464
IIT Guwahati,"Indian Institute of Technology Guwahati - IIT Guwahati, NH27, Amingaon, Guwahati, Kamrup, Assam, 781015, India",26.19247875,91.6946356873113
Anna University,"Anna University, Srinagar Colony, Little Mount, Corporation of Chennai, Chennai district, Tamil Nadu, 600015, India",13.008257,80.2334823
Jadavpur university,"Jadavpur University, Chingrighata Flyover, Basani Devi Colony, Kolkata, H?ora, West Bengal, 700102, India",22.5611537,88.4131019353334
IIT Hyderabad,"narayana school,iit, NH 7, Jawahar Nagar, Hyderabad, Telangana, 500063, India",17.4086181,78.4898943
KGISL,"KGISL, Sarvanampatti, Villangkurichi, Coimbatore district, Tamil Nadu, India",11.0824186,76.9978943005154
